C:\Documents and Settings\Korisnik\Desktop\21C01 rsponsed SDS 4E4M\21C01 response SDS 4E4M 3.csv;30-1-21;12:41:45

Inc. Vol.;Total Volume;Time;Total Time; mV; pH
0.000;0.000; 0 ; 0 ;18.7;0.000
0.010;0.010; 60 ; 60 ;13.0;0.000
0.010;0.020; 60 ; 120 ;8.1;0.000
0.010;0.030; 60 ; 180 ;2.3;0.000
0.010;0.040; 60 ; 240 ;-0.4;0.000
0.010;0.050; 60 ; 300 ;-4.1;0.000
0.010;0.060; 60 ; 360 ;-4.8;0.000
0.020;0.080; 60 ; 420 ;-9.0;0.000
0.020;0.100; 60 ; 480 ;-13.3;0.000
0.030;0.130; 60 ; 540 ;-20.1;0.000
0.050;0.180; 60 ; 600 ;-22.5;0.000
0.070;0.250; 60 ; 660 ;-32.3;0.000
0.100;0.350; 60 ; 720 ;-38.3;0.000
0.150;0.500; 60 ; 780 ;-45.7;0.000
0.200;0.700; 60 ; 840 ;-56.0;0.000
0.300;1.000; 60 ; 900 ;-58.5;0.000
0.400;1.400; 60 ; 960 ;-65.5;0.000
0.600;2.000; 60 ; 1020 ;-73.5;0.000
0.800;2.800; 60 ; 1080 ;-76.8;0.000
1.200;4.000; 60 ; 1140 ;-83.1;0.000
1.500;5.500; 60 ; 1200 ;-90.1;0.000
2.000;7.500; 60 ; 1260 ;-92.5;0.000
2.500;10.000; 60 ; 1320 ;-96.4;0.000
3.000;13.000; 60 ; 1380 ;-99.6;0.000
3.000;16.000; 60 ; 1440 ;-101.1;0.000
4.000;20.000; 60 ; 1500 ;-101.6;0.000
