C:\Documents and Settings\Korisnik\Desktop\21C02 responsed 4E4M\21C02 responsed SDS 4E4M 3.csv;31-1-21;10:41:08

Inc. Vol.;Total Volume;Time;Total Time; mV; pH
0.000;0.000; 0 ; 0 ;89.7;0.000
0.010;0.010; 60 ; 60 ;75.6;0.000
0.010;0.020; 60 ; 120 ;64.9;0.000
0.010;0.030; 60 ; 180 ;56.1;0.000
0.010;0.040; 60 ; 240 ;49.6;0.000
0.010;0.050; 60 ; 300 ;45.3;0.000
0.010;0.060; 60 ; 360 ;39.6;0.000
0.020;0.080; 60 ; 420 ;46.1;0.000
0.020;0.100; 60 ; 480 ;26.4;0.000
0.030;0.130; 60 ; 540 ;21.0;0.000
0.050;0.180; 60 ; 600 ;13.8;0.000
0.070;0.250; 60 ; 660 ;4.5;0.000
0.100;0.350; 60 ; 720 ;-2.9;0.000
0.150;0.500; 60 ; 780 ;-8.6;0.000
0.200;0.700; 60 ; 840 ;-15.2;0.000
0.300;1.000; 60 ; 900 ;-30.0;0.000
0.400;1.400; 60 ; 960 ;-37.0;0.000
0.600;2.000; 60 ; 1020 ;-46.1;0.000
0.800;2.800; 60 ; 1080 ;-52.1;0.000
1.200;4.000; 60 ; 1140 ;-62.6;0.000
1.500;5.500; 60 ; 1200 ;-66.1;0.000
2.000;7.500; 60 ; 1260 ;-75.7;0.000
2.500;10.000; 60 ; 1320 ;-79.6;0.000
3.000;13.000; 60 ; 1380 ;-85.5;0.000
3.000;1
